zip,primary_city,state,county,timezone,latitude,longitude
30022,Alpharetta,GA,Fulton County,America/New_York,34.06,-84.27
29720,Lancaster,SC,Lancaster County,America/New_York,34.72,-80.77
28173,Waxhaw,NC,Union County,America/New_York,34.92,-80.74
97008,Beaverton,OR,Washington County,America/Los_Angeles,45.45,-122.79
75078,Prosper,TX,Collin County,America/Chicago,33.24,-96.78
37135,Nolensville,TN,Williamson County,America/Chicago,35.94,-86.64
16630,Cresson,PA,Cambria County,America/New_York,40.46,-78.58
75040,Garland,TX,Dallas County,America/Chicago,32.91,-96.62
95340,Merced,CA,Merced County,America/Los_Angeles,37.29,-120.48
96819,Honolulu,HI,Honolulu County,Pacific/Honolulu,21.3,-157.85
93063,Simi Valley,CA,Ventura County,America/Los_Angeles,34.3,-118.72
73433,Elmore City,OK,Garvin County,America/Chicago,34.62,-97.39
52537,Bloomfield,IA,Davis County,America/Chicago,40.74,-92.41
13060,Elbridge,NY,Onondaga County,America/New_York,43.03,-76.44
92078,San Marcos,CA,San Diego County,America/Los_Angeles,33.11,-117.16
96150,South Lake Tahoe,CA,El Dorado County,America/Los_Angeles,38.84,-120.01
11569,Point Lookout,NY,Nassau County,America/New_York,40.59,-73.58
81301,Durango,CO,La Plata County,America/Denver,37.27,-107.88
76856,Mason,TX,Mason County,America/Chicago,30.74,-99.23
33323,Fort Lauderdale,FL,Broward County,America/New_York,26.14,-80.13
30052,Loganville,GA,Walton County,America/New_York,33.83,-83.89
55449,Minneapolis,MN,Anoka County,America/Chicago,44.96,-93.26
75789,Troup,TX,Cherokee County,,32.14,-95.12
27103,Winston Salem,NC,Forsyth County,America/New_York,36.1,-80.24
91205,Glendale,CA,Los Angeles County,America/Los_Angeles,34.13,-118.24
32046,Hilliard,FL,Nassau County,America/New_York,30.69,-81.92
60160,Melrose Park,IL,Cook County,America/Chicago,41.9,-87.86
56277,Olivia,MN,Renville County,America/Chicago,44.77,-94.99
80129,Littleton,CO,Douglas County,America/Denver,39.54,-105
79045,Hereford,TX,Deaf Smith County,America/Chicago,34.82,-102.39
75028,Flower Mound,TX,Denton County,America/Chicago,33.02,-97.09
79765,Odessa,TX,Ector County,America/Chicago,31.85,-102.36
94538,Fremont,CA,Alameda County,America/Los_Angeles,37.5,-121.96
37027,Brentwood,TN,Williamson County,America/Chicago,35.99,-86.78
21037,Edgewater,MD,Anne Arundel County,America/New_York,38.9,-76.54
76109,Fort Worth,TX,Tarrant County,America/Chicago,32.75,-97.33
67213,Wichita,KS,Sedgwick County,America/Chicago,37.68,-97.34
80219,Denver,CO,Denver County,America/Denver,39.76,-104.87
90221,Compton,CA,Los Angeles County,America/Los_Angeles,33.87,-118.21
72758,Rogers,AR,Benton County,America/Chicago,36.33,-94.13
92860,Norco,CA,Riverside County,America/Los_Angeles,33.93,-117.56
95630,Folsom,CA,Sacramento County,America/Los_Angeles,38.67,-121.14
11516,Cedarhurst,NY,Nassau County,America/New_York,40.62,-73.72
48187,Canton,MI,Wayne County,America/Detroit,42.3,-83.48
98108,Seattle,WA,King County,America/Los_Angeles,47.54,-122.31
91506,Burbank,CA,Los Angeles County,America/Los_Angeles,34.17,-118.32
11231,Brooklyn,NY,Kings County,America/New_York,40.64,-73.94
48346,Clarkston,MI,Oakland County,America/Detroit,42.73,-83.42
53212,Milwaukee,WI,Milwaukee County,America/Chicago,43.06,-87.96
60610,Chicago,IL,Cook County,America/Chicago,41.83,-87.68
84341,Logan,UT,Cache County,America/Denver,41.85,-111.7
45013,Hamilton,OH,Butler County,America/New_York,39.39,-84.56
34109,Naples,FL,Collier County,America/New_York,26.14,-81.79
11572,Oceanside,NY,Nassau County,America/New_York,40.63,-73.63
92867,Orange,CA,Orange County,America/Los_Angeles,33.81,-117.79
90230,Culver City,CA,Los Angeles County,America/Los_Angeles,33.99,-118.39
77546,Friendswood,TX,Galveston County,America/Chicago,29.51,-95.19
34242,Sarasota,FL,Sarasota County,America/New_York,27.33,-82.54
56082,Saint Peter,MN,Nicollet County,America/Chicago,44.32,-93.96
93940,Monterey,CA,Monterey County,America/Los_Angeles,36.6,-121.88
76244,Keller,TX,Tarrant County,America/Chicago,32.93,-97.22
98104,Seattle,WA,King County,America/Los_Angeles,47.6,-122.32
75090,Sherman,TX,Grayson County,America/Chicago,33.61,-96.6
54618,Camp Douglas,WI,Juneau County,America/Chicago,43.91,-90.26
77032,Houston,TX,Harris County,America/Chicago,29.76,-95.38
77505,Pasadena,TX,Harris County,America/Chicago,29.66,-95.15
18078,Schnecksville,PA,Lehigh County,America/New_York,40.67,-75.61
43240,Columbus,OH,Delaware County,America/New_York,39.98,-82.98
55923,Chatfield,MN,Fillmore County,America/Chicago,43.84,-92.18
23005,Ashland,VA,Hanover County,America/New_York,37.76,-77.47
50310,Des Moines,IA,Polk County,America/Chicago,41.57,-93.61
95762,El Dorado Hills,CA,El Dorado County,America/Los_Angeles,38.68,-121.05
94025,Menlo Park,CA,San Mateo County,America/Los_Angeles,37.45,-122.17
30126,Mableton,GA,Cobb County,America/New_York,33.81,-84.56
34689,Tarpon Springs,FL,Pinellas County,America/New_York,28.14,-82.78
75501,Texarkana,TX,Bowie County,America/Chicago,33.44,-94.07
17404,York,PA,York County,America/New_York,39.96,-76.73
98370,Poulsbo,WA,Kitsap County,America/Los_Angeles,47.75,-122.61
39462,New Augusta,MS,Perry County,America/Chicago,31.2,-89.02
88203,Roswell,NM,Chaves County,America/Denver,33.33,-104.52
98444,Tacoma,WA,Pierce County,America/Los_Angeles,47.15,-122.44
29440,Georgetown,SC,Georgetown County,America/New_York,33.36,-79.29
75024,Plano,TX,Collin County,America/Chicago,33.04,-96.74
79530,Lawn,TX,Taylor County,America/Chicago,32.13,-99.75
79331,Lamesa,TX,Dawson County,America/Chicago,32.73,-101.95
75202,Dallas,TX,Dallas County,America/Chicago,32.79,-96.76
84003,American Fork,UT,Utah County,America/Denver,40.39,-111.78
28204,Charlotte,NC,Mecklenburg County,America/New_York,35.19,-80.83
57201,Watertown,SD,Codington County,America/Chicago,44.91,-97.16
10303,Staten Island,NY,Richmond County,America/New_York,40.58,-74.14
61254,Geneseo,IL,Henry County,America/Chicago,41.44,-90.15
97362,Mount Angel,OR,Marion County,America/Los_Angeles,45.06,-122.76
58763,New Town,ND,Mountrail County,America/Chicago,47.98,-102.49
33025,Hollywood,FL,Broward County,America/New_York,26.02,-80.16
60560,Yorkville,IL,Kendall County,America/Chicago,41.64,-88.44
83352,Shoshone,ID,Lincoln County,America/Boise,43.11,-114.4
28205,Charlotte,NC,Mecklenburg County,America/New_York,35.19,-80.83
75231,Dallas,TX,Dallas County,America/Chicago,32.79,-96.76
93292,Visalia,CA,Tulare County,America/Los_Angeles,36.37,-119.18
87031,Los Lunas,NM,Valencia County,America/Denver,34.81,-106.73
90022,Los Angeles,CA,Los Angeles County,America/Los_Angeles,34.02,-118.15
88220,Carlsbad,NM,Eddy County,America/Denver,32.4,-104.23
33071,Pompano Beach,FL,Broward County,America/New_York,26.23,-80.13
85259,Scottsdale,AZ,Maricopa County,America/Phoenix,33.68,-111.73
91403,Sherman Oaks,CA,Los Angeles County,America/Los_Angeles,34.14,-118.46
21202,Baltimore,MD,Baltimore City,America/New_York,39.3,-76.61
93309,Bakersfield,CA,Kern County,America/Los_Angeles,35.34,-119.07
85326,Buckeye,AZ,Maricopa County,America/Phoenix,33.38,-112.55
34736,Groveland,FL,Lake County,America/New_York,28.56,-81.85
22180,Vienna,VA,Fairfax County,America/New_York,38.9,-77.26
63104,Saint Louis,MO,St Louis City,America/Chicago,38.63,-90.24
85747,Tucson,AZ,Pima County,America/Phoenix,32.1,-110.68
17331,Hanover,PA,York County,America/New_York,39.81,-76.98
32713,Debary,FL,Volusia County,America/New_York,28.88,-81.32
91320,Newbury Park,CA,Ventura County,America/Los_Angeles,34.17,-118.95
64055,Independence,MO,Jackson County,America/Chicago,39.08,-94.35
73128,Oklahoma City,OK,Oklahoma County,America/Chicago,35.46,-97.51
24151,Rocky Mount,VA,Franklin County,America/New_York,36.99,-79.89
33441,Deerfield Beach,FL,Broward County,America/New_York,26.31,-80.12
21044,Columbia,MD,Howard County,America/New_York,39.2,-76.85
45385,Xenia,OH,Greene County,America/New_York,39.68,-83.94
50313,Des Moines,IA,Polk County,America/Chicago,41.57,-93.61
37415,Chattanooga,TN,Hamilton County,America/New_York,35.06,-85.25
19809,Wilmington,DE,New Castle County,America/New_York,39.73,-75.53
55088,Webster,MN,Rice County,America/Chicago,44.5,-93.34
37206,Nashville,TN,Davidson County,America/Chicago,36.17,-86.78
39090,Kosciusko,MS,Attala County,America/Chicago,33.05,-89.58
99301,Pasco,WA,Franklin County,America/Los_Angeles,46.41,-118.9
66856,Lebo,KS,Coffey County,,38.41,-95.85
32817,Orlando,FL,Orange County,America/New_York,28.5,-81.37
33065,Pompano Beach,FL,Broward County,America/New_York,26.23,-80.13
32608,Gainesville,FL,Alachua County,America/New_York,29.67,-82.33
34741,Kissimmee,FL,Osceola County,America/New_York,28.3,-81.41
32073,Orange Park,FL,Clay County,America/New_York,30.16,-81.7
33609,Tampa,FL,Hillsborough County,America/New_York,27.95,-82.48
32303,Tallahassee,FL,Leon County,America/New_York,30.45,-84.28
33618,Tampa,FL,Hillsborough County,America/New_York,27.95,-82.48
40228,Louisville,KY,Jefferson County,America/Kentucky/Louisville,38.22,-85.74
92509,Riverside,CA,Riverside County,America/Los_Angeles,33.99,-117.44
32810,Orlando,FL,Orange County,America/New_York,28.5,-81.37
28428,Carolina Beach,NC,New Hanover County,America/New_York,34.04,-77.89
38801,Tupelo,MS,Lee County,America/Chicago,34.26,-88.73
45241,Cincinnati,OH,Hamilton County,America/New_York,39.09,-84.51
27376,West End,NC,Moore County,America/New_York,35.24,-79.53
33544,Wesley Chapel,FL,Pasco County,America/New_York,28.23,-82.17
60602,Chicago,IL,Cook County,America/Chicago,41.83,-87.68
33309,Fort Lauderdale,FL,Broward County,America/New_York,26.14,-80.13
20854,Potomac,MD,Montgomery County,America/New_York,39.02,-77.19
93250,Mc Farland,CA,Kern County,America/Los_Angeles,35.65,-119.19
66219,Lenexa,KS,Johnson County,America/Chicago,38.9,-94.68
19072,Narberth,PA,Montgomery County,America/New_York,40,-75.26
78124,Marion,TX,Guadalupe County,,29.57,-98.14
68114,Omaha,NE,Douglas County,America/Chicago,41.26,-96.01
44403,Brookfield,OH,Trumbull County,America/New_York,41.26,-80.57
35960,Centre,AL,Cherokee County,America/Chicago,34.15,-85.67
16319,Cranberry,PA,Venango County,America/New_York,41.35,-79.72
75602,Longview,TX,Gregg County,America/Chicago,32.51,-94.76
39701,Columbus,MS,Lowndes County,America/Chicago,33.5,-88.4
70544,Jeanerette,LA,Iberia Parish,America/Chicago,29.91,-91.67
34240,Sarasota,FL,Sarasota County,America/New_York,27.33,-82.54
66207,Overland Park,KS,Johnson County,America/Chicago,38.9,-94.68
78801,Uvalde,TX,Uvalde County,America/Chicago,29.21,-99.78
13021,Auburn,NY,Cayuga County,America/New_York,42.93,-76.56
54701,Eau Claire,WI,Eau Claire County,America/Chicago,44.82,-91.49
91607,Valley Village,CA,Los Angeles County,America/Los_Angeles,34.16,-118.4
77445,Hempstead,TX,Waller County,America/Chicago,30.09,-96.08
75494,Winnsboro,TX,Wood County,America/Chicago,32.95,-95.28
20622,Charlotte Hall,MD,Charles County,America/New_York,38.47,-76.78
73127,Oklahoma City,OK,Oklahoma County,America/Chicago,35.46,-97.51
88130,Portales,NM,Roosevelt County,America/Denver,34.18,-103.34
47240,Greensburg,IN,Decatur County,America/Indiana/Indianapolis,39.34,-85.48
92646,Huntington Beach,CA,Orange County,America/Los_Angeles,33.66,-117.97
98021,Bothell,WA,Snohomish County,America/Los_Angeles,47.79,-122.2
77802,Bryan,TX,Brazos County,America/Chicago,30.66,-96.36
99780,Tok,AK,Southeast Fairbanks Census Area,America/Anchorage,63.66,-143.19
31404,Savannah,GA,Chatham County,America/New_York,32.08,-81.1
98028,Kenmore,WA,King County,America/Los_Angeles,47.75,-122.24
92067,Rancho Santa Fe,CA,San Diego County,America/Los_Angeles,33.02,-117.19
20024,Washington,DC,District of Columbia,America/New_York,38.89,-77.03
12110,Latham,NY,Albany County,America/New_York,42.74,-73.74
30534,Dawsonville,GA,Dawson County,America/New_York,34.42,-84.11
70503,Lafayette,LA,Lafayette Parish,America/Chicago,30.21,-92.02
97367,Lincoln City,OR,Lincoln County,America/Los_Angeles,44.94,-123.94
29201,Columbia,SC,Richland County,America/New_York,34,-81.03
37219,Nashville,TN,Davidson County,America/Chicago,36.17,-86.78
31405,Savannah,GA,Chatham County,America/New_York,32.08,-81.1
30297,Forest Park,GA,Clayton County,America/New_York,33.61,-84.35
30066,Marietta,GA,Cobb County,America/New_York,33.95,-84.54
73102,Oklahoma City,OK,Oklahoma County,America/Chicago,35.46,-97.51
59101,Billings,MT,Yellowstone County,America/Denver,45.65,-108.38
48170,Plymouth,MI,Wayne County,,42.37,-83.46
11964,Shelter Island,NY,Suffolk County,America/New_York,41.06,-72.32
34102,Naples,FL,Collier County,America/New_York,26.14,-81.79
78751,Austin,TX,Travis County,America/Chicago,30.26,-97.74
29609,Greenville,SC,Greenville County,America/New_York,34.83,-82.37
73768,Ringwood,OK,Major County,America/Chicago,36.38,-98.24
33314,Fort Lauderdale,FL,Broward County,America/New_York,26.14,-80.13
35548,Brilliant,AL,Marion County,America/Chicago,34.01,-87.77
22655,Stephens City,VA,Frederick County,America/New_York,39.09,-78.22
33801,Lakeland,FL,Polk County,America/New_York,28.04,-81.96
58203,Grand Forks,ND,Grand Forks County,America/Chicago,47.91,-97.07
44718,Canton,OH,Stark County,America/New_York,40.81,-81.37
70112,New Orleans,LA,Orleans Parish,America/Chicago,30.06,-89.93
10034,New York,NY,New York County,America/New_York,40.71,-73.99
11719,Brookhaven,NY,Suffolk County,America/New_York,40.78,-72.91
65721,Ozark,MO,Christian County,America/Chicago,37.01,-93.2
32708,Winter Springs,FL,Seminole County,America/New_York,28.68,-81.27
90802,Long Beach,CA,Los Angeles County,America/Los_Angeles,33.75,-118.2
11103,Astoria,NY,Queens County,America/New_York,40.78,-73.91
44481,Warren,OH,Trumbull County,America/New_York,41.23,-80.81
76234,Decatur,TX,Wise County,,33.23,-97.59
15219,Pittsburgh,PA,Allegheny County,America/New_York,40.43,-79.97
61109,Rockford,IL,Winnebago County,America/Chicago,42.27,-89.06
55921,Caledonia,MN,Houston County,America/Chicago,43.63,-91.5
91942,La Mesa,CA,San Diego County,America/Los_Angeles,32.78,-117.01
23704,Portsmouth,VA,Portsmouth City,America/New_York,36.83,-76.29
28403,Wilmington,NC,New Hanover County,America/New_York,34.21,-77.91
94306,Palo Alto,CA,Santa Clara County,America/Los_Angeles,37.41,-122.13
76028,Burleson,TX,Johnson County,America/Chicago,32.53,-97.32
79912,El Paso,TX,El Paso County,America/Denver,31.84,-106.43
43214,Columbus,OH,Franklin County,America/New_York,39.98,-82.98
21219,Sparrows Point,MD,Baltimore County,America/New_York,39.22,-76.43
42325,Bremen,KY,Muhlenberg County,America/Kentucky/Louisville,37.36,-87.21
55410,Minneapolis,MN,Hennepin County,America/Chicago,44.96,-93.26
91706,Baldwin Park,CA,Los Angeles County,America/Los_Angeles,34.09,-117.96
14092,Lewiston,NY,Niagara County,America/New_York,43.17,-79.04
87109,Albuquerque,NM,Bernalillo County,America/Denver,35.11,-106.62
76008,Aledo,TX,Parker County,America/Chicago,32.69,-97.6
82001,Cheyenne,WY,Laramie County,America/Denver,41.14,-104.79
11221,Brooklyn,NY,Kings County,America/New_York,40.64,-73.94
94080,South San Francisco,CA,San Mateo County,America/Los_Angeles,37.65,-122.42
15201,Pittsburgh,PA,Allegheny County,America/New_York,40.43,-79.97
30152,Kennesaw,GA,Cobb County,America/New_York,34.02,-84.61
65203,Columbia,MO,Boone County,America/Chicago,38.95,-92.32
11563,Lynbrook,NY,Nassau County,America/New_York,40.65,-73.67
84084,West Jordan,UT,Salt Lake County,America/Denver,40.62,-111.98
85012,Phoenix,AZ,Maricopa County,America/Phoenix,33.5,-112.07
34491,Summerfield,FL,Marion County,America/New_York,29,-82.03
43017,Dublin,OH,Franklin County,America/New_York,40.11,-83.13
20902,Silver Spring,MD,Montgomery County,America/New_York,39.01,-77.02
30307,Atlanta,GA,Dekalb County,America/New_York,33.76,-84.33
18020,Bethlehem,PA,Northampton County,America/New_York,40.62,-75.36
42103,Bowling Green,KY,Warren County,America/Kentucky/Louisville,36.97,-86.44
94526,Danville,CA,Contra Costa County,America/Los_Angeles,37.81,-121.97
15317,Canonsburg,PA,Washington County,America/New_York,40.26,-80.18
71301,Alexandria,LA,Rapides Parish,America/Chicago,31.29,-92.46
57105,Sioux Falls,SD,Minnehaha County,America/Chicago,43.54,-96.73
98036,Lynnwood,WA,Snohomish County,America/Los_Angeles,47.8,-122.28
55424,Minneapolis,MN,Hennepin County,America/Chicago,44.96,-93.26
33445,Delray Beach,FL,Palm Beach County,America/New_York,26.45,-80.08
43702,Zanesville,OH,Muskingum County,America/New_York,39.95,-82.01
49686,Traverse City,MI,Grand Traverse County,America/Detroit,44.75,-85.6
33128,Miami,FL,Miami-Dade County,America/New_York,25.77,-80.2
48201,Detroit,MI,Wayne County,America/Detroit,42.38,-83.1
22556,Stafford,VA,Stafford County,America/New_York,38.42,-77.4
94619,Oakland,CA,Alameda County,America/Los_Angeles,37.78,-122.12
60504,Aurora,IL,Dupage County,America/Chicago,41.76,-88.29
10174,New York,NY,New York County,America/New_York,40.71,-73.99
40513,Lexington,KY,Fayette County,America/Kentucky/Louisville,38.04,-84.45
14305,Niagara Falls,NY,Niagara County,America/New_York,43.09,-79.01
92617,Irvine,CA,Orange County,America/Los_Angeles,33.63,-117.83
91601,North Hollywood,CA,Los Angeles County,America/Los_Angeles,34.16,-118.37
11232,Brooklyn,NY,Kings County,America/New_York,40.64,-73.94
92105,San Diego,CA,San Diego County,America/Los_Angeles,32.73,-117.08
33410,Palm Beach Gardens,FL,Palm Beach County,America/New_York,26.74,-80.12
83686,Nampa,ID,Canyon County,America/Boise,43.49,-116.61
22304,Alexandria,VA,Alexandria City,America/New_York,38.82,-77.08
11755,Lake Grove,NY,Suffolk County,America/New_York,40.85,-73.11
85014,Phoenix,AZ,Maricopa County,America/Phoenix,33.5,-112.05
79701,Midland,TX,Midland County,America/Chicago,32.02,-102.1
72712,Bentonville,AR,Benton County,America/Chicago,36.36,-94.2
19804,Wilmington,DE,New Castle County,America/New_York,39.73,-75.53
93637,Madera,CA,Madera County,America/Los_Angeles,36.91,-120.19
14026,Bowmansville,NY,Erie County,America/New_York,42.94,-78.68
44314,Akron,OH,Summit County,America/New_York,41.08,-81.52
44264,Peninsula,OH,Summit County,America/New_York,41.23,-81.55
88345,Ruidoso,NM,Lincoln County,America/Denver,33.36,-105.64
11552,West Hempstead,NY,Nassau County,America/New_York,40.69,-73.65
20016,Washington,DC,District of Columbia,America/New_York,38.89,-77.03
19143,Philadelphia,PA,Philadelphia County,America/New_York,39.95,-75.16
11238,Brooklyn,NY,Kings County,America/New_York,40.64,-73.94
21206,Baltimore,MD,Baltimore City,America/New_York,39.3,-76.61
55372,Prior Lake,MN,Scott County,America/Chicago,44.72,-93.43
33706,Saint Petersburg,FL,Pinellas County,America/New_York,27.75,-82.64
20176,Leesburg,VA,Loudoun County,America/New_York,39.1,-77.55
33156,Miami,FL,Miami-Dade County,America/New_York,25.77,-80.2
76210,Denton,TX,Denton County,America/Chicago,33.14,-97.06
19026,Drexel Hill,PA,Delaware County,America/New_York,39.94,-75.3
21043,Ellicott City,MD,Howard County,America/New_York,39.27,-76.83
51108,Sioux City,IA,Woodbury County,America/Chicago,42.5,-96.39
61550,Morton,IL,Tazewell County,America/Chicago,40.61,-89.46
33563,Plant City,FL,Hillsborough County,America/New_York,28.01,-82.14
20759,Fulton,MD,Howard County,America/New_York,39.15,-76.92
40222,Louisville,KY,Jefferson County,America/Kentucky/Louisville,38.22,-85.74
33510,Brandon,FL,Hillsborough County,America/New_York,27.92,-82.29
23113,Midlothian,VA,Chesterfield County,America/New_York,37.5,-77.63
55311,Osseo,MN,Hennepin County,America/Chicago,45.11,-93.39
15147,Verona,PA,Allegheny County,America/New_York,40.5,-79.84
76401,Stephenville,TX,Erath County,America/Chicago,32.21,-98.21
32110,Bunnell,FL,Flagler County,America/New_York,29.46,-81.25
76111,Fort Worth,TX,Tarrant County,America/Chicago,32.75,-97.33
49265,Onsted,MI,Lenawee County,America/Detroit,42,-84.19
48381,Milford,MI,Oakland County,America/Detroit,42.58,-83.6
95113,San Jose,CA,Santa Clara County,America/Los_Angeles,37.33,-121.89
95632,Galt,CA,Sacramento County,America/Los_Angeles,38.27,-121.22
92399,Yucaipa,CA,San Bernardino County,America/Los_Angeles,34.04,-117.01
48362,Lake Orion,MI,Oakland County,America/Detroit,42.78,-83.24
70815,Baton Rouge,LA,East Baton Rouge Parish,America/Chicago,30.44,-91.12
26508,Morgantown,WV,Monongalia County,America/New_York,39.63,-79.94
55426,Minneapolis,MN,Hennepin County,America/Chicago,44.96,-93.26
32958,Sebastian,FL,Indian River County,America/New_York,27.78,-80.48
73012,Edmond,OK,Oklahoma County,America/Chicago,35.65,-97.52
92128,San Diego,CA,San Diego County,America/Los_Angeles,32.99,-117.07
67030,Colwich,KS,Sedgwick County,America/Chicago,37.78,-97.53
54173,Suamico,WI,Brown County,America/Chicago,44.63,-88.05
59808,Missoula,MT,Missoula County,America/Denver,46.98,-114.12
68512,Lincoln,NE,Lancaster County,America/Chicago,40.81,-96.68
38732,Cleveland,MS,Bolivar County,America/Chicago,33.74,-90.72
78374,Portland,TX,San Patricio County,America/Chicago,27.87,-97.32
95652,Mcclellan,CA,Sacramento County,America/Los_Angeles,38.66,-121.4
79705,Midland,TX,Midland County,America/Chicago,32.02,-102.1
74804,Shawnee,OK,Pottawatomie County,America/Chicago,35.33,-96.91
49468,Grandville,MI,Kent County,America/Detroit,42.9,-85.75
59313,Baker,MT,Fallon County,America/Denver,46.28,-104.28
78380,Robstown,TX,Nueces County,America/Chicago,27.79,-97.66
50325,Clive,IA,Polk County,America/Chicago,41.6,-93.76
84606,Provo,UT,Utah County,America/Denver,40.21,-111.61
76458,Jacksboro,TX,Jack County,America/Chicago,33.22,-98.15
93256,Pixley,CA,Tulare County,America/Los_Angeles,35.95,-119.31
80549,Wellington,CO,Larimer County,America/Denver,40.7,-105
74006,Bartlesville,OK,Washington County,America/Chicago,36.73,-95.94
43021,Galena,OH,Delaware County,America/New_York,40.22,-82.88
77575,Liberty,TX,Liberty County,America/Chicago,30.04,-94.79
76426,Bridgeport,TX,Wise County,America/Chicago,33.2,-97.75
70445,Lacombe,LA,St Tammany Parish,America/Chicago,30.3,-89.92
30071,Norcross,GA,Gwinnett County,America/New_York,33.94,-84.2
80836,Stratton,CO,Kit Carson County,America/Denver,39.3,-102.6
37932,Knoxville,TN,Knox County,America/New_York,35.97,-83.94
29936,Ridgeland,SC,Jasper County,America/New_York,32.48,-80.98
77057,Houston,TX,Harris County,America/Chicago,29.76,-95.38
35806,Huntsville,AL,Madison County,America/Chicago,34.7,-86.62
46220,Indianapolis,IN,Marion County,America/Indiana/Indianapolis,39.77,-86.14
62501,Argenta,IL,Macon County,America/Chicago,39.98,-88.81
48044,Macomb,MI,Macomb County,America/Detroit,42.66,-82.91
90292,Marina Del Rey,CA,Los Angeles County,America/Los_Angeles,33.97,-118.43
79404,Lubbock,TX,Lubbock County,America/Chicago,33.57,-101.87
80634,Greeley,CO,Weld County,America/Denver,40.42,-104.74
23666,Hampton,VA,Hampton City,America/New_York,37.04,-76.29
45419,Dayton,OH,Montgomery County,America/New_York,39.77,-84.19
79409,Lubbock,TX,Lubbock County,America/Chicago,33.57,-101.87
90604,Whittier,CA,Los Angeles County,America/Los_Angeles,33.93,-118
95610,Citrus Heights,CA,Sacramento County,America/Los_Angeles,38.69,-121.26
95912,Arbuckle,CA,Colusa County,America/Los_Angeles,39.02,-122.04
19312,Berwyn,PA,Chester County,America/New_York,40.03,-75.44
89141,Las Vegas,NV,Clark County,America/Los_Angeles,35.97,-115.21
85029,Phoenix,AZ,Maricopa County,America/Phoenix,33.59,-112.1
91405,Van Nuys,CA,Los Angeles County,America/Los_Angeles,34.2,-118.44
97504,Medford,OR,Jackson County,America/Los_Angeles,42.33,-122.79
97333,Corvallis,OR,Benton County,America/Los_Angeles,44.46,-123.34
60102,Algonquin,IL,McHenry County,America/Chicago,42.16,-88.3
68505,Lincoln,NE,Lancaster County,America/Chicago,40.81,-96.68
66762,Pittsburg,KS,Crawford County,,37.41,-94.69
32114,Daytona Beach,FL,Volusia County,America/New_York,29.19,-81.05
84123,Salt Lake City,UT,Salt Lake County,America/Denver,40.65,-111.92
53189,Waukesha,WI,Waukesha County,America/Chicago,43.01,-88.23
11206,Brooklyn,NY,Kings County,America/New_York,40.64,-73.94
85249,Chandler,AZ,Maricopa County,America/Phoenix,33.24,-111.78
33442,Deerfield Beach,FL,Broward County,America/New_York,26.31,-80.12
11581,Valley Stream,NY,Nassau County,America/New_York,40.66,-73.7
33702,Saint Petersburg,FL,Pinellas County,America/New_York,27.75,-82.64
32931,Cocoa Beach,FL,Brevard County,America/New_York,28.33,-80.62
95112,San Jose,CA,Santa Clara County,America/Los_Angeles,37.34,-121.88
14127,Orchard Park,NY,Erie County,America/New_York,42.76,-78.74
64505,Saint Joseph,MO,Buchanan County,America/Chicago,39.76,-94.85
83440,Rexburg,ID,Madison County,America/Boise,43.78,-111.76
81130,Creede,CO,Mineral County,America/Denver,37.85,-106.92
43025,Hebron,OH,Licking County,America/New_York,39.96,-82.49
98292,Stanwood,WA,Snohomish County,America/Los_Angeles,48.21,-122.28
78744,Austin,TX,Travis County,America/Chicago,30.26,-97.74
20132,Purcellville,VA,Loudoun County,America/New_York,39.13,-77.71
80135,Sedalia,CO,Douglas County,America/Denver,39.43,-104.97
90723,Paramount,CA,Los Angeles County,America/Los_Angeles,33.89,-118.16
32207,Jacksonville,FL,Duval County,America/New_York,30.33,-81.65
53018,Delafield,WI,Waukesha County,America/Chicago,43.06,-88.39
43701,Zanesville,OH,Muskingum County,America/New_York,39.95,-82.01
60527,Willowbrook,IL,Dupage County,America/Chicago,41.8,-87.92
11743,Huntington,NY,Suffolk County,America/New_York,40.87,-73.4
53012,Cedarburg,WI,Ozaukee County,America/Chicago,43.29,-87.98
33426,Boynton Beach,FL,Palm Beach County,America/New_York,26.52,-80.08
68022,Elkhorn,NE,Douglas County,America/Chicago,41.28,-96.23
90038,Los Angeles,CA,Los Angeles County,America/Los_Angeles,34.08,-118.32
77429,Cypress,TX,Harris County,America/Chicago,29.96,-95.69
85281,Tempe,AZ,Maricopa County,America/Phoenix,33.43,-111.91
63026,Fenton,MO,St Louis County,America/Chicago,38.53,-90.45
10940,Middletown,NY,Orange County,America/New_York,41.44,-74.42
80216,Denver,CO,Denver County,America/Denver,39.76,-104.87
46290,Indianapolis,IN,Hamilton County,America/Indiana/Indianapolis,39.77,-86.14
96797,Waipahu,HI,Honolulu County,Pacific/Honolulu,21.39,-158.01
99224,Spokane,WA,Spokane County,America/Los_Angeles,47.63,-117.55
43085,Columbus,OH,Franklin County,America/New_York,39.98,-82.98
29642,Easley,SC,Pickens County,America/New_York,34.82,-82.58
92111,San Diego,CA,San Diego County,America/Los_Angeles,32.8,-117.16
54313,Green Bay,WI,Brown County,America/Chicago,44.52,-87.98
29072,Lexington,SC,Lexington County,America/New_York,33.98,-81.22
32501,Pensacola,FL,Escambia County,America/Chicago,30.44,-87.18
82935,Green River,WY,Sweetwater County,America/Denver,41.51,-109.46
63010,Arnold,MO,Jefferson County,America/Chicago,38.42,-90.36
